"","cluster","arm","nets","deaths","expected","x","y"
"1",0,"control",2,0,0,9.93200091195491,8.8746949096336
"2",0,"control",2,0,0,10.0430009119549,8.7816949096336
"3",0,"control",2,0,0,10.1330009119549,8.7416949096336
"4",0,"control",2,0,0,10.1690009119549,8.7276949096336
"5",0,"control",2,0,0,10.1460009119549,8.6756949096336
"6",0,"control",2,0,0,10.0710009119549,8.6636949096336
"7",0,"control",2,0,0,10.1660009119549,8.6446949096336
"8",0,"control",2,0,0,10.2330009119549,8.6486949096336
"9",0,"control",2,0,0,10.2920009119549,8.4376949096336
"10",0,"control",2,0,0,9.48600091195491,9.6216949096336
"11",0,"control",0,0,0.044,2.22800091195491,-4.0803050903664
"12",0,"control",0,0,0,2.19000091195491,-4.4393050903664
"13",0,"control",0,0,0.029,2.00100091195491,-4.5623050903664
"14",0,"control",0,0,0.08,2.08500091195491,-4.5323050903664
"15",0,"control",2,0,0,38.7400009119549,-8.7383050903664
"16",0,"control",2,0,0,38.7510009119549,-8.7463050903664
"17",0,"control",2,0,0,38.7060009119549,-8.6643050903664
"18",0,"control",2,0,0,37.3160009119549,-7.5763050903664
"19",0,"control",2,0,0,37.3350009119549,-7.5583050903664
"20",0,"control",2,0,0,37.1910009119549,-7.5463050903664
"21",0,"control",2,0,0,37.1270009119549,-7.4773050903664
"22",0,"control",2,0,0,40.2440009119549,-9.6523050903664
"23",0,"control",2,0,0,40.2210009119549,-9.6573050903664
"24",0,"control",2,0,0,40.1920009119549,-9.6383050903664
"25",0,"control",2,0,0,40.1510009119549,-9.6853050903664
"26",0,"control",2,0,0,40.0250009119549,-9.7483050903664
"27",0,"control",2,0,0,40.0200009119549,-9.7463050903664
"28",0,"control",2,0,0,39.9510009119549,-9.8323050903664
"29",0,"control",2,0,0,39.9420009119549,-9.7363050903664
"30",0,"control",2,0,0,40.0000009119549,-9.7103050903664
"31",0,"control",2,0,0,39.6950009119549,-9.5003050903664
"32",0,"control",2,0,0,39.4160009119549,-9.6003050903664
"33",0,"control",2,0,0,39.5100009119549,-9.5043050903664
"34",0,"control",2,0,0,39.4930009119549,-9.3043050903664
"35",0,"control",2,0,0,39.3760009119549,-9.1103050903664
"36",0,"control",2,0,0,38.8860009119549,-8.7193050903664
"37",0,"control",2,0,0,38.8860009119549,-8.7163050903664
"38",0,"control",2,0,0,38.8780009119549,-8.7243050903664
"39",0,"control",2,0,0,38.7860009119549,-8.7443050903664
"40",0,"control",2,0,0,38.7760009119549,-8.8253050903664
"41",0,"control",2,0,0,38.7870009119549,-8.8323050903664
"42",0,"control",2,0,0,38.7920009119549,-8.8213050903664
"43",0,"control",2,0,0,38.6280009119549,-9.1523050903664
"44",0,"control",2,0,0,38.4410009119549,-9.3943050903664
"45",0,"control",2,0,0,38.3740009119549,-9.2793050903664
"46",0,"control",2,0,0,38.3140009119549,-9.1963050903664
"47",0,"control",2,0,0,38.7210009119549,-8.8823050903664
"48",0,"control",0,0,0.029,3.02100091195491,-4.9493050903664
"49",0,"control",0,0,0,2.21100091195491,-4.1523050903664
"50",0,"control",0,1,0.061,2.15000091195491,-4.0973050903664
"51",0,"control",2,0,0,33.0970009119549,-6.4603050903664
"52",0,"control",2,0,0,33.0400009119549,-6.3883050903664
"53",0,"control",2,0,0,33.1840009119549,-6.2783050903664
"54",0,"control",2,0,0,33.1760009119549,-6.2753050903664
